text,sentiment,clean_text
The cast is good.  ,positive,cast good
"For that, it's worth checking out.  ",positive,worth checking
This is probably the most irritating show I have ever seen in my entire life.  ,negative,probably irritating show ever seen entire life
It is indescribably the most annoying and idiotic show I have ever seen.  ,negative,indescribably annoying idiotic show ever seen
Everything about it is just bad.  ,negative,everything bad
"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.  ",negative,could understand kind idiot would produce mess first place mention several season
"The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.  ",negative,script bad bad contains cheesiness unethical joke normally see rated r nc movie
"The casting is also horrible, cause all you see is a really really BAD Actors, period.  ",negative,casting also horrible cause see really really bad actors period
Final Word: This Show is a real torture!!  ,negative,final word show real torture
It is zillion times away from reality.  ,negative,zillion times away reality
Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,negative,watching washing machine twirling around wouldnt hurt eyes much show
Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  ,negative,rating grade z note show bad even mother cast pull daughter show
20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.  ,negative,th century foxs road house quite silly noir implausible unmitigated bore movie
"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",negative,full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal
From here on the Widmark character turns unintentionally comical!  ,negative,widmark character turns unintentionally comical
His losing his marbles so early in the proceedings is totally implausible and unconvincing.  ,negative,losing marbles early proceedings totally implausible unconvincing
And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,negative,isnt enough mess movie picture also marred constant use studio sets indoor exteriors
Whatever prompted such a documentary is beyond me!  ,negative,whatever prompted documentary beyond
(very serious spoilers) this movie was a huge disappointment.  ,negative,serious spoilers movie huge disappointment
there are so many problems i dont know where to start.  ,negative,many problems dont know start
the cast was great.  ,positive,cast great
"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  ",positive,steve martin delivers really funny performance middleaged upper class uptight white guy
add betty white and jean smart and you have a great cast - everyone played their parts really well.  ,positive,add betty white jean smart great cast everyone played parts really well
but the movie makes a lot of serious mistakes.  ,negative,movie makes lot serious mistakes
"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ",negative,first enough racial stereotypes racial jokes offend everyone
the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,negative,movie littered overt racial slurs towards black cast members return whites depicted morons boobs
"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  ",negative,putting race card aside lets look major flaw film destroy latifas character
there is no real plot.  ,negative,real plot
i wouldnt see this movie again for free.  ,negative,wouldnt see movie free
STEAMBOAT WILLIE is an amazingly important film to our cinema history.  ,positive,steamboat willie amazingly important film cinema history
This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,positive,second appearance mickey mouse following silent plane crazy earlier year probably famous filmmostly groundbreaking
"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  ",positive,dont yet hear mickey speak tons sound effects music throughout filmsomething take granted huge crowd pleaser
"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  ",positive,however seeing short years amazed timeless film actually
"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  ",positive,adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way
Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,positive,clever real crowdpleaserthis film still ranks among mickeys best films even wonderful years
"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  ",negative,bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing
"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",negative,im terribly disappointed film would receive many awards accolades especially far deserving works film
The original Body and Soul (1947) is a masterpiece.  ,positive,original body soul masterpiece
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  ",positive,john garfield ann revere lilli plmer william conrad canada leeand filmed one greatest cinematographers ever grace screenjames wong howe
I don't think there are any redeeming qualities in this remake.  ,negative,dont think redeeming qualities remake
This may be the only bad film he ever made.  ,negative,may bad film ever made
So bad...well...it's just bad.  ,negative,badwellits bad
"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",negative,movie solid example bad plot bad idea way
It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,negative,shame see good actors like thomerson james make living mess like
I thought it was bad.  ,negative,thought bad
"Both films are terrible, but to the credit of the 1986 version, it was watchable.  ",negative,films terrible credit version watchable
"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",negative,lets start problemsthe acting especially lead professor bad
The script is a big flawed mess.  ,negative,script big flawed mess
The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  ,negative,best example dumb writing established turn zombiestudents back humans removing necklace containing piece meteorite
"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",negative,director paul matthews also wrotedirected weak monster movie grim clearly doesnt know pace films
The movie is terribly boring in places.  ,negative,movie terribly boring places
The lighting is awful.  ,negative,lighting awful
The film looks cheap and bland.  ,negative,film looks cheap bland
One of the most disappointing aspects is the lack of notable gore.  ,negative,one disappointing aspects lack notable gore
"This convention never worked well in the past, and certainly doesn't work here.  ",negative,convention never worked well past certainly doesnt work
The visual effects were AWFUL.  ,negative,visual effects awful
The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,negative,cg opening sequence space looked like could created microsoft slideshow gods sake
"The ""explosion"" of the Gas tanks at the end was just as awful.  ",negative,explosion gas tanks end awful
"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  ",positive,okay like consider fair critic ill give credit credits duethe creature effects actually pretty cool
"Gotta love those close-ups of slimy, drooling teeth!  ",positive,gotta love closeups slimy drooling teeth
"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  ",negative,sum film breeders terrible cheaply made horror movie avoided like ebola virus
Not recommended.  ,negative,recommended
"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",negative,almost unbearable watch screen little charisma terrible comedic timing
"Aside from it's terrible lead, this film has loads of other debits.  ",negative,aside terrible lead film loads debits
"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  ",negative,understand supposed cheap popcorn comedy doesnt mean completely insult intelligence writing incredibly hackneyed borders offensive
"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",negative,lewis blacks considerable talent wasted incendiary unrestrained pg rating certainly wont allow
The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,positive,films sole bright spot jonah hill look almost unrecognizable fans recent superbad due amount weight lost interim
"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",negative,originality freshness first movie spent remake little else offer
The budget was evidently very limited.  ,negative,budget evidently limited
"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",negative,reflected cast also belowpar script borrowed much earlier classic
"However, here there was no decent acting, action or location work to balance things up.  ",negative,however decent acting action location work balance things
Filmiing was less expansive.  ,negative,filmiing less expansive
It failed to convey the broad sweep of landscapes that were a great part of the original.  ,negative,failed convey broad sweep landscapes great part original
Generally; it just lacked imagination.  ,negative,generally lacked imagination
Not recommended.  ,negative,recommended
Is it possible for a movie to get any worse than this?  ,negative,possible movie get worse
There is no plot here to keep you going in the first place.  ,negative,plot keep going first place
"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",negative,even women finally show sign improvement expected things happen time film might far asleep
"Beware: this is not a trashy cult movie, this is trash -period!  ",negative,beware trashy cult movie trash period
I can't believe there's even a sequel to this!  ,negative,cant believe theres even sequel
Which is precisely why I am giving it such a bad review!  ,negative,precisely giving bad review
"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  ",positive,child truly enjoyed show proudly say enjoyed big time even classical wb cartoons
"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",positive,tiny toons kept vibe delivered one popular funny underrated cartoons ever created
The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  ,positive,memories murky say enjoyed every single episode product related show
"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",positive,easily none cartoon made laugh tender way getting dark sitcoms oriented teenagers
The characters were all funny and had the peculiarity of not having a true lead character.  ,positive,characters funny peculiarity true lead character
Every single character was hilarious and deserved to be called a lead.  ,positive,every single character hilarious deserved called lead
"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  ",negative,every element story top excessively phony contrived painful sit
"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",negative,lines seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk
Perabo has a nice energy level and is obviously very comfortable in front of a camera.  ,positive,perabo nice energy level obviously comfortable front camera
There is simply no excuse for something this poorly done.  ,negative,simply excuse something poorly done
I saw this movie and I thought this is a stupid movie.  ,negative,saw movie thought stupid movie
What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  ,negative,even stupid thought idea volcano los angeles
"To be honest with you, this is unbelievable nonsense and very foolish.  ",negative,honest unbelievable nonsense foolish
"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",negative,conclusion bother movie volcano los angeles nothing nonsense
The story line is just awful!  ,negative,story line awful
It's just painful!  ,negative,painful
And the accents are absolutely abysmal!  ,negative,accents absolutely abysmal
There's also enough hypocrisy in this film to make me vomit.  ,negative,theres also enough hypocrisy film make vomit
Don't waste your time watching this rubbish non-researched film.  ,negative,dont waste time watching rubbish nonresearched film
I believe that Pitch Black was done well.  ,positive,believe pitch black done well
"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  ",positive,characters interesting want find longer movie goes think people surprised doesnt make
Go watch it!  ,positive,go watch
Omit watching this.  ,negative,omit watching
VERY funny!  ,positive,funny
My rating: just 3 out of 10.  ,negative,rating
The characters are interesting and you really care for them.  ,positive,characters interesting really care
"An instant classic, with a great soundtrack and a catchy song during the ending credits.  ",positive,instant classic great soundtrack catchy song ending credits
Don't miss it.  ,positive,dont miss
"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",positive,masterful piece filmmaking many themes simmering occasionally boiling warts study poets bohemian selfindulgent wartime years span aerial bombardments london outward tranquillity welsh coastal retreat borderlines friendship lust love dedication art experience versus practical concerns jealousy rivalry cowardice egotism versus heroism selfsacrifice
"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",positive,mature subtle script suggests occasionally brings dramatic focus underlying tensions well served perfect performances apart odd inappropriate smiling keira knightley prone though perhaps direction time characters often mention
"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  ",positive,exquisite visual composition moment inventive elegant use closeup camera angle lighting including pointillistic faux home movie footage wonder joy behold
"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",positive,continuously beautiful look bertolucci relationships convincing narrative engaging masters work
The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  ,negative,basic premise wasted since sidelined inexplicable focus documentary crew
"Regardless, the film fails on most levels.  ",negative,regardless film fails levels
Avoid at all costs.  ,negative,avoid costs
"I saw this film over Christmas, and what a great film it was!  ",positive,saw film christmas great film
I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  ,positive,thought errol flynn brilliant custer since become favourite actor
His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  ,positive,acting alongside olivia de havilland brilliant ending fantastic
"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  ",positive,always known errol flynn brilliant actor dads favourite actor grew watching films child
But it wasn't until I watched this film that I realised how great he actually was.  ,positive,wasnt watched film realised great actually
I'll give this film 10 out of 10!  ,positive,ill give film
"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",negative,know jim oconnor energetic nobody could much george well dull
"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  ",negative,really didnt seem want hosting voiceovers monotonous didnt get involved guests
"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",positive,lovely little thriller hitchcock lots nice shenanigans surrounding murdered spy kidnapped child nasty church foreign plot random taxidermists
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",positive,jimmy stewart ever great hero hitchcock story rips along cool climax embassy function lacks brooding menace hitchcocks black white lowbudget original
Nevertheless yet another wonderful film from the great master's stable.  ,positive,nevertheless yet another wonderful film great masters stable
I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  ,positive,say film excellently produced tops ratings typical sci fi film
Excellently produced by one of Sci-fi's best producers Scot Vandiver !  ,positive,excellently produced one scifis best producers scot vandiver
"But it is entertaining, nonetheless.  ",positive,entertaining nonetheless
It's a campy sort of film that's a joy to watch.  ,positive,campy sort film thats joy watch
There's barely a boring moment in the film and there are plenty of humorous parts.  ,positive,theres barely boring moment film plenty humorous parts
The cast is always entertaining as usual.  ,positive,cast always entertaining usual
"Overall, a delight!  ",positive,overall delight
"This movie is so mind-bendingly awful, it couldn't have even been created.  ",negative,movie mindbendingly awful couldnt even created
The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,negative,film lacks real scares tension medical terminology used throughout bit iffy say least say insulin dependant diabetic
The least said about the acting the better.  ,negative,least said acting better
This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,positive,movie excellent job revealing complexity task incredible challenges facing south africa
I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,positive,believe every one see movie think people outside south africa understand past attempted truth reconciliation process
Nothing short of magnificent photography/cinematography in this film.  ,positive,nothing short magnificent photographycinematography film
"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  ",positive,acting fantastic stories seamlessly woven together dogs splendid must rent view see
Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,positive,dont afraid subtitles worth little aversion therapy
Excellent performance.  ,positive,excellent performance
There still are good actors around!  ,positive,still good actors around
Also great directing and photography.  ,positive,also great directing photography
"Very true to Shakespear, and a 'must' for all Shakespear fans.  ",positive,true shakespear must shakespear fans
"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  ",positive,macbeth jason connery moved tears final monolog brief candle outhe gave sphere moral decay dark forces human face makes interesting
"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",positive,helen baxendale credible lady macbeth cheerfull times sometimes looks like naughty girl deadly taste blood evil
"If you love death and decay, and Shakespears lyrics... this is the one.  ",positive,love death decay shakespears lyrics one
"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",positive,witty delightful adaptation dr seuss book brilliantly animated upas finest thoroughly deserving academy award
"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",positive,special mention made superb music score sound effects integral element helping make memorable enjoyable cartoon
"However Paul Schrader has indeed made a film ""about"" Mishima that is both superb & complex.  ",positive,however paul schrader indeed made film mishima superb complex
Also notable is John Bailey's fine crisp beautifully colored cinematography and the great production design & costumes by Eiko Ishioka who went on to do the memorable costumes for Coppola's Dracula for which she received a well deserved Oscar.  ,positive,also notable john baileys fine crisp beautifully colored cinematography great production design costumes eiko ishioka went memorable costumes coppolas dracula received well deserved oscar
"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  ",negative,even allowing poor production values time format kind miniseries baaaaaad
"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",negative,unless youre visually collect extant films austens work skip one
"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  ",positive,watch however small consolations actresses playing annes sisters wonderful job roles
It is not good.  ,negative,good
"Speaking of the music, it is unbearably predictably and kitchy.  ",negative,speaking music unbearably predictably kitchy
Then the film just dropped the ball.  ,negative,film dropped ball
This is a stunning movie.  ,positive,stunning movie
Raw and sublimely moving.  ,positive,raw sublimely moving
"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  ",positive,felt like gripping intelligent stage play without overly theatrical feeling one actually gets watching people stage plays everyones terror white lie escalating monstrous consequences
All of the main players are mesmerising.  ,positive,main players mesmerising
Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,positive,tom wilkinson broke heart end everyone elses judging amount fumbling hankies hands going faces among males females alike
Julian Fellowes has triumphed again.  ,positive,julian fellowes triumphed
He's a national treasure.  ,positive,hes national treasure
GO AND SEE IT!  ,positive,go see
This is an excellent film.  ,positive,excellent film
The aerial scenes were well-done.  ,positive,aerial scenes welldone
It was also the right balance of war and love.  ,positive,also right balance war love
"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",positive,film gives meaning phrase never history human conflict much owed many
Kris Kristoffersen is good in this movie and really makes a difference.  ,positive,kris kristoffersen good movie really makes difference
A good film by a great director!  ,positive,good film great director
This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  ,positive,definitely one better documentaries seen looking family relationships marriage
"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",negative,many continuity errors one user commented different cars garage joes glassesthe one got fact joes facial hair configuration seemed change scene scene
This is just a great movie.  ,positive,great movie
10 out of 10 stars.  ,positive,stars
I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,negative,cant see movie inspiration anyone come overcome fear rejection
It's so bad it's actually worth seeing just for that reason.  ,negative,bad actually worth seeing reason
Punishment Park is a brilliant piece of cinema.  ,positive,punishment park brilliant piece cinema
"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  ",positive,shot southern california desert using patent faux documentary style watkins creates film like
This is one of Peter Watkins most accessible films.  ,positive,one peter watkins accessible films
I advise you to look out for it.  ,positive,advise look
You wont regret it!  ,positive,wont regret
Highly recommended A+  ,positive,highly recommended
Well... Just if you keep thinking how bad it is.  ,negative,well keep thinking bad
"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  ",negative,mediocre miserable hollow laughable predictable piece garbage
It's a case of 'so bad it is laughable'.  ,negative,case bad laughable
") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  ",negative,bad performance plays angela bennett computer expert home time
"It is a film about nothing, just a pretext to show ridiculous action scenes.  ",negative,film nothing pretext show ridiculous action scenes
How awful she is!  ,negative,awful
"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  ",negative,still bad actress repeating robotic face moves pictures
"The results, well, are a shame.  ",negative,results well shame
DELETE this film from your mind!  ,negative,delete film mind
One of the worst shows of all time.  ,negative,one worst shows time
The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,negative,show would begin smart ass ed comments would totally wall uncalled
"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",negative,fat computer geek unbelievable bible thumper badass girl actors
Never heard of any of them except Cole who was totally unbelievable in the part.  ,negative,never heard except cole totally unbelievable part
"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",negative,every time opened mouth expect hear see kids pulling plug mercy killing horrible show
The stories were as unbelievable as the actors.  ,negative,stories unbelievable actors
Lame would be the best way to describe it.  ,negative,lame would best way describe
"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  ",positive,stanwyck morgan perfectly cast many ways modern equivalent dickens christmas carol sensibility
The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,positive,success film depends casting sydney greenstreet alexander yardley character
The attractive set used throughout most of the film is an eye-pleasing gem.  ,positive,attractive set used throughout film eyepleasing gem
"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",negative,im big fan rpg games movie disgrace selfrespecting rpger
"The lines, the cuts, the audio, everything is wrong.  ",negative,lines cuts audio everything wrong
You can find better movies at youtube.  ,negative,find better movies youtube
"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",negative,top line dont waste time money one bad comes
"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",negative,lassie movie put sleep forever
That's how I'd describe this painfully dreary time-waster of a film.  ,negative,thats id describe painfully dreary timewaster film
"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  ",negative,mediocre every aspect becomes dull uninteresting mess one forgettable movies ive seen
"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  ",negative,isnt even achievement sobaditsgood sobaditsmemorable movie
"It's an empty, hollow shell of a movie.  ",negative,empty hollow shell movie
"Seriously, it's not worth wasting your, or your kid's time on.  ",negative,seriously worth wasting kids time
"Avoid, avoid, avoid!  ",negative,avoid avoid avoid
It will drive you barking mad!  ,negative,drive barking mad
The transfers are very good.  ,positive,transfers good
Very nice and relaxing late night viewing.  ,positive,nice relaxing late night viewing
The movie is full of wonderful dancing (hence the title!  ,positive,movie full wonderful dancing hence title
") some great music, and terrific scenery.  ",positive,great music terrific scenery
"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",positive,handles tough issues dignity grace course shocking spoiler
") a happy, wonderful, feel good ending!  ",positive,happy wonderful feel good ending
"The point is the journey, a journey that touches every member of the family.  ",positive,point journey journey touches every member family
It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,positive,one movies need see whenever comes tvnever mind fact already memorized
Nothing new there.  ,negative,nothing new
That was done in the second movie.  ,negative,done second movie
The movie has almost no action scenes in it and very little comedy.  ,negative,movie almost action scenes little comedy
The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,negative,plot holes pair fishnet stockings direction editing astonishingly ham fisted
What on earth is Irons doing in this film?  ,negative,earth irons film
I just saw this film and I recommend it.  ,positive,saw film recommend
"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  ",positive,good plot holds complete attention acting superb tom wilkinson fantastic emily watson also good
"A very good film indeed, about great and unconditional love.  ",positive,good film indeed great unconditional love
"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",positive,tom wilkinsons character man prepared ordeal begin takes matter hand story progresses great actor gives performance makes feel characters anguish suffering
"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",positive,emily watsons character strong give quick glance understand everything
"Despite the pans of reviewers, I liked this movie.  ",positive,despite pans reviewers liked movie
"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  ",positive,fact liked better interview vampire liked lestat stuart townsend better cruises attempt
"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",positive,aailiyah pretty good akasha places compelling first entrance mini dance scene
"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",positive,im big fan series mostly due anne rices style sensitivities treatments
I guess I liked the details of his dysfunction--he was believable.  ,positive,guess liked details dysfunctionhe believable
The football scenes at the end were perplexing.  ,negative,football scenes end perplexing
But I thought his acting was skilled.  ,positive,thought acting skilled
Meredith M was better than all right.  ,positive,meredith better right
A very charming film with wonderful sentiment and heart.  ,positive,charming film wonderful sentiment heart
It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  ,positive,rare filmmaker takes time tell worthy moral tale care love doesnt fall trap overly syrupy indulgent
Nine out of ten for a truly lovely film.  ,positive,nine ten truly lovely film
This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  ,positive,early film future goremeister lucio fulci good addition giallo subgenre
This is one of the best Italian thrillers of the early 70's.  ,positive,one best italian thrillers early
A standout scene.  ,positive,standout scene
This scene is very strong and unpleasant.  ,negative,scene strong unpleasant
"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  ",positive,technically film well made impressive camerawork solid acting effective music riz ortolani particularly good recurring unaccompanied female vocal sounds like coming distant hill
It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,positive,still wild stuff though highly recommended fans giallo cinema
The movie was very interesting from beginning to the end.  ,positive,movie interesting beginning end
I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,positive,liked way dustin hoffmans character ready everything stay son
This movie is also revealing.  ,positive,movie also revealing
"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  ",positive,personally think shows people learn find compromise self without involving people issue
And it was boring.  ,negative,boring
"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",negative,tired clichs lazy writing come thick fast
PS the only scene in the movie that was cool is when the central character finds her room blown up.  ,positive,ps scene movie cool central character finds room blown
"It's a fresh, subtle, and rather sublime effect.  ",positive,fresh subtle rather sublime effect
"An Italian reviewer called this ""a small, great film,"" and that's right.  ",positive,italian reviewer called small great film thats right
"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  ",positive,actors give wonderful performance especially jennifer rubin jamie harris changes nervous starlet beginning strange events part cool star
"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  ",positive,learn lot real inside emotions people movie lot movie business
"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",positive,movie movie situations beginning game played acting coach fascinating
Also the music by Mark Snow is possibly the best score I've ever heard.  ,positive,also music mark snow possibly best score ive ever heard
You won't forget this movie!  ,positive,wont forget movie
Why was this film made?  ,negative,film made
The film has an ultra-cheap look to it.  ,negative,film ultracheap look
The result is a film that just don't look right.  ,negative,result film dont look right
None of them are engaging or exciting.  ,negative,none engaging exciting
The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  ,negative,plot nonsense doesnt interest slightest way uniqueness
The Foreigner is not worth one second of your time.  ,negative,foreigner worth one second time
"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  ",positive,saw child tv back stranger loved
